Date,Symbol,SecurityName,Quantity,YEAR
14-OCT-2022,COFORGE,COFORGE LIMITED,"1,050",2022
14-OCT-2022,IRCTC,INDIAN RAIL TOUR CORP LTD,875,2022
14-OCT-2022,POLYCAB,POLYCAB INDIA LIMITED,"9,000",2022
14-OCT-2022,TATAMOTORS,TATA MOTORS LIMITED,"81,225",2022
14-OCT-2022,UBL,UNITED BREWERIES LIMITED,"6,400",2022
17-OCT-2022,TATAMOTORS,TATA MOTORS LIMITED,"19,950",2022
18-OCT-2022,BHARTIARTL,BHARTI AIRTEL LIMITED,"67,450",2022
18-OCT-2022,DEEPAKNTR,DEEPAK NITRITE LIMITED,500,2022
18-OCT-2022,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,"40,000",2022
18-OCT-2022,SBIN,STATE BANK OF INDIA,"1,44,000",2022
19-OCT-2022,BHARTIARTL,BHARTI AIRTEL LIMITED,950,2022
19-OCT-2022,DIXON,DIXON TECHNO (INDIA) LTD,"1,000",2022
19-OCT-2022,EICHERMOT,EICHER MOTORS LIMITED,"11,200",2022
19-OCT-2022,HDFCAMC,HDFC AMC LIMITED,"4,800",2022
19-OCT-2022,LALPATHLAB,DR. LAL PATH LABS LTD.,250,2022
19-OCT-2022,LTTS,L&T TECHNOLOGY SER. LTD,"7,800",2022
19-OCT-2022,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,"8,000",2022
19-OCT-2022,POLYCAB,POLYCAB INDIA LIMITED,"6,000",2022
19-OCT-2022,TVSMOTOR,TVS MOTOR COMPANY  LTD,"51,800",2022
20-OCT-2022,AUBANK,AU SMALL FINANCE BANK LIMITED,"2,70,000",2022
20-OCT-2022,BHARTIARTL,BHARTI AIRTEL LIMITED,"44,650",2022
21-OCT-2022,AUBANK,AU SMALL FINANCE BANK LIMITED,"20,000",2022
21-OCT-2022,BAJAJFINSV,BAJAJ FINSERV LIMITED,"18,000",2022
21-OCT-2022,BHARTIARTL,BHARTI AIRTEL LIMITED,"24,700",2022
21-OCT-2022,DEEPAKNTR,DEEPAK NITRITE LIMITED,"7,000",2022
21-OCT-2022,POLYCAB,POLYCAB INDIA LIMITED,300,2022
21-OCT-2022,UBL,UNITED BREWERIES LIMITED,"4,800",2022
25-OCT-2022,CIPLA,CIPLA LTD,"74,750",2022
27-OCT-2022,CIPLA,CIPLA LTD,"36,400",2022
27-OCT-2022,CUB,CITY UNION BANK LTD,"65,000",2022
