industry,macro_sector,constituent_count,breadth_status,reliability_tier,confidence_score,current_strength,leadership_state,leadership_acceleration,forward_opportunity_score,best_horizon,final_opportunity_class,5D_exp_ret,10D_exp_ret,20D_exp_ret,30D_exp_ret,5D_exp_excess,10D_exp_excess,20D_exp_excess,30D_exp_excess,20D_P10,20D_P25,20D_P50,20D_P75,20D_P90,20D_P95,20D_P_pos,20D_P_gt_5,20D_P_gt_8,20D_P_gt_10,20D_P_gt_15,upside_asymmetry_score,model_consensus_score,analog_quality_score,data_completeness,regime_compatibility,primary_strength_rank,primary_opportunity_rank
Fast Moving Consumer Goods,Other,14,PRIMARY_ELIGIBLE,HIGH_RELIABILITY,77.0,12.2,NEUTRAL,50.0,28.3,30D,LAGGARD,-1.57,-2.08,-2.64,-3.02,-1.72,-2.43,-3.44,-4.22,-8.1,-3.85,0.39,3.9,7.4,9.62,27.4,12.1,6.3,4.4,1.7,44.5,86.4,79.2,100.0%,HIGH,48,55
Telecom Services & Infrastructure,Other,10,PRIMARY_ELIGIBLE,HIGH_RELIABILITY,65.0,9.7,NEUTRAL,50.0,28.2,30D,LAGGARD,-1.72,-2.29,-2.94,-3.38,-1.87,-2.64,-3.74,-4.58,-7.91,-4.43,-0.94,2.69,6.33,8.73,25.3,11.1,5.9,4.1,1.6,53.3,86.4,79.2,100.0%,HIGH,54,56
Internet & Digital Platforms,Other,11,PRIMARY_ELIGIBLE,HIGH_RELIABILITY,68.0,18.3,NEUTRAL,50.0,28.1,30D,LAGGARD,-1.21,-1.58,-1.93,-2.14,-1.36,-1.93,-2.73,-3.34,-13.01,-6.56,-0.1,3.15,6.41,8.74,32.9,14.9,7.6,5.2,1.9,20.3,86.4,79.2,100.0%,HIGH,33,57
Power Generation & Utilities,Other,11,PRIMARY_ELIGIBLE,HIGH_RELIABILITY,68.0,1.6,NEUTRAL,50.0,28.0,30D,LAGGARD,-1.99,-2.67,-3.47,-4.03,-2.14,-3.02,-4.27,-5.23,-9.69,-6.15,-2.6,2.0,6.61,8.98,21.9,9.6,5.1,3.6,1.4,62.1,86.4,79.2,100.0%,HIGH,75,58
Pumps & Compressors,Other,10,PRIMARY_ELIGIBLE,HIGH_RELIABILITY,65.0,9.7,NEUTRAL,50.0,27.9,30D,LAGGARD,-1.51,-1.99,-2.51,-2.85,-1.66,-2.34,-3.31,-4.05,-14.65,-7.81,-0.97,4.47,9.9,13.68,28.4,12.6,6.6,4.5,1.7,37.9,86.4,79.2,100.0%,HIGH,54,59
Hotels & Restaurants,Other,23,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,84.0,8.7,NEUTRAL,50.0,27.8,30D,LAGGARD,-1.65,-2.19,-2.79,-3.2,-1.8,-2.54,-3.59,-4.4,-10.95,-6.39,-1.83,2.17,6.17,9.03,26.3,11.6,6.1,4.2,1.6,46.2,86.4,79.2,100.0%,HIGH,60,60
Cement,Other,8,PRIMARY_ELIGIBLE,MODERATE_RELIABILITY,57.0,7.1,NEUTRAL,50.0,27.7,30D,LAGGARD,-1.83,-2.46,-3.17,-3.66,-1.98,-2.81,-3.97,-4.86,-11.04,-6.75,-2.46,2.33,7.12,9.7,23.8,10.4,5.5,3.9,1.5,56.6,86.4,79.2,100.0%,HIGH,65,61
Stockbroking & Financial Products,Other,16,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,80.5,13.2,NEUTRAL,50.0,27.5,30D,LAGGARD,-1.49,-1.98,-2.49,-2.83,-1.64,-2.33,-3.29,-4.03,-12.95,-6.86,-0.77,3.55,7.87,11.18,28.5,12.6,6.6,4.5,1.7,34.3,86.4,79.2,100.0%,HIGH,44,62
Paper & Paper Products,Other,11,PRIMARY_ELIGIBLE,HIGH_RELIABILITY,68.0,7.8,NEUTRAL,50.0,27.2,30D,LAGGARD,-1.71,-2.28,-2.91,-3.35,-1.86,-2.63,-3.71,-4.55,-11.24,-6.43,-1.62,2.57,6.75,9.7,25.5,11.2,5.9,4.1,1.6,45.5,86.4,79.2,100.0%,HIGH,62,63
Cement & Clinker,Other,21,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,83.0,7.2,NEUTRAL,50.0,27.0,30D,LAGGARD,-1.87,-2.51,-3.24,-3.75,-2.02,-2.86,-4.04,-4.95,-8.47,-4.94,-1.41,2.28,5.98,8.59,23.3,10.2,5.4,3.8,1.5,53.3,86.4,79.2,100.0%,HIGH,63,64
