date,P10,P25,P50,P75,P90,P95
2024-11-29,-11.67,-6.12,-0.03,6.07,11.62,14.89
2024-12-02,-14.74,-9.19,-3.1,3.0,8.54,11.82
2024-12-03,-15.66,-10.11,-4.02,2.08,7.62,10.9
2024-12-04,-16.32,-10.77,-4.67,1.42,6.97,10.24
2024-12-05,-16.27,-10.72,-4.63,1.46,7.01,10.29
2024-12-06,-16.36,-10.81,-4.72,1.38,6.93,10.2
2024-12-09,-16.41,-10.87,-4.77,1.32,6.87,10.14
2024-12-10,-16.45,-10.9,-4.81,1.28,6.83,10.11
2024-12-11,-16.38,-10.83,-4.74,1.36,6.91,10.18
2024-12-12,-15.98,-10.43,-4.34,1.76,7.3,10.58
2024-12-13,-15.97,-10.42,-4.32,1.77,7.32,10.59
2024-12-16,-15.8,-10.25,-4.16,1.93,7.48,10.76
2024-12-17,-16.06,-10.51,-4.42,1.68,7.23,10.5
2024-12-18,-14.37,-8.82,-2.72,3.37,8.92,12.19
2024-12-19,-14.24,-8.69,-2.6,3.5,9.04,12.32
2024-12-20,-10.26,-4.72,1.38,7.47,13.02,16.29
2024-12-23,-10.01,-4.46,1.63,7.72,13.27,16.55
2024-10-28,-5.05,0.5,6.6,12.69,18.24,21.51
2024-10-29,-5.69,-0.14,5.95,12.04,17.59,20.87
2024-10-30,-7.37,-1.83,4.27,10.36,15.91,19.18
2024-10-31,-9.35,-3.81,2.29,8.38,13.93,17.2
2024-11-01,-9.36,-3.81,2.28,8.37,13.92,17.2
2024-11-04,-8.51,-2.96,3.13,9.23,14.78,18.05
2024-11-05,-9.87,-4.32,1.78,7.87,13.42,16.69
2024-11-06,-12.14,-6.6,-0.5,5.59,11.14,14.41
2024-11-07,-12.66,-7.12,-1.02,5.07,10.62,13.89
2024-11-08,-10.4,-4.85,1.24,7.34,12.89,16.16
2024-11-11,-10.79,-5.24,0.85,6.95,12.49,15.77
2024-11-12,-8.25,-2.71,3.39,9.48,15.03,18.3
2024-11-13,-6.27,-0.72,5.37,11.47,17.01,20.29
2024-11-14,-6.66,-1.11,4.98,11.07,16.62,19.9
2024-11-18,-7.34,-1.79,4.3,10.39,15.94,19.22
2024-11-19,-6.79,-1.25,4.85,10.94,16.49,19.76
