Industry,Sector,Constituent_Count,Current_Strength_Score,Current_Strength_Rank,Leadership_State,Leadership_Acceleration_Score,Forward_Opportunity_Score,Best_Horizon,5D_Expected_Return (%),10D_Expected_Return (%),20D_Expected_Return (%),30D_Expected_Return (%),60D_Expected_Return (%),90D_Expected_Return (%),20D_P10 (%),20D_P50 (%),20D_P90 (%),Upside_Asymmetry_Score,Model_Consensus_Score,Model_Consensus_Label,Analog_Quality_Score,Reliability_Level,Model_Confidence (%),Final_Opportunity_Class,Final_Research_Rank
Civil Construction & Infrastructure EPC,Other,10,16.5,78,NEUTRAL,52.1,30.9,90D (Sparse),-1.25,-1.64,-2.01,-2.24,-2.37,-2.16,-7.32,-2.01,3.3,51.1,81.4,HIGH MODEL CONSENSUS,67.3,VERY HIGH,78.7,AVOID,72
Fast Moving Consumer Goods,Other,14,19.0,64,NEUTRAL,45.2,30.8,90D (Sparse),-1.2,-1.56,-1.9,-2.11,-2.18,-1.93,-7.21,-1.9,3.41,51.2,82.4,HIGH MODEL CONSENSUS,67.8,VERY HIGH,86.6,AVOID,75
Paints,Other,4,18.1,72,NEUTRAL,49.3,30.8,90D (Sparse),-1.24,-1.61,-1.97,-2.2,-2.3,-2.08,-7.28,-1.97,3.34,51.1,81.8,HIGH MODEL CONSENSUS,67.8,MODERATE,63.9,AVOID,75
Software Products & Digital Services,Other,62,18.2,70,NEUTRAL,51.3,30.7,90D (Sparse),-1.26,-1.64,-2.02,-2.25,-2.38,-2.17,-7.33,-2.02,3.3,51.1,81.3,HIGH MODEL CONSENSUS,67.8,VERY HIGH,98.0,AVOID,77
Batteries,Other,2,14.4,82,NEUTRAL,48.7,30.4,90D (Sparse),-1.27,-1.65,-2.03,-2.27,-2.41,-2.21,-7.34,-2.03,3.28,51.1,81.2,HIGH MODEL CONSENSUS,61.2,MODERATE,54.9,AVOID,78
Insurance,Other,10,14.0,83,NEUTRAL,53.7,30.4,90D (Sparse),-1.31,-1.71,-2.11,-2.37,-2.55,-2.38,-7.43,-2.11,3.2,51.1,80.5,HIGH MODEL CONSENSUS,67.3,VERY HIGH,78.4,AVOID,78
Pharmaceuticals & Biotechnology,Other,38,16.4,79,NEUTRAL,52.1,30.3,90D (Sparse),-1.3,-1.71,-2.11,-2.36,-2.54,-2.37,-7.42,-2.11,3.2,51.1,80.5,HIGH MODEL CONSENSUS,68.3,VERY HIGH,98.0,AVOID,80
Media & Entertainment,Other,23,14.0,84,NEUTRAL,56.7,30.2,90D (Sparse),-1.35,-1.78,-2.21,-2.48,-2.71,-2.58,-7.52,-2.21,3.11,51.1,79.6,MODERATE CONSENSUS,68.1,VERY HIGH,98.0,AVOID,81
Ship Building & Defence,Other,3,18.7,68,DECELERATING,2.5,29.6,90D (Sparse),-0.94,-1.19,-1.38,-1.47,-1.28,-0.83,-6.69,-1.38,3.93,51.3,87.0,HIGH MODEL CONSENSUS,64.8,MODERATE,61.4,AVOID,82
Explosives & Defence Chemicals,Other,2,19.4,63,DECELERATING,31.4,29.5,90D (Sparse),-1.19,-1.55,-1.89,-2.09,-2.16,-1.9,-7.2,-1.89,3.42,51.2,82.5,HIGH MODEL CONSENSUS,68.6,MODERATE,56.7,AVOID,83
