sample_index,prediction_id,prediction_date,prediction_timestamp,latest_allowed_source_timestamp,industry,v34_predicted_return,actual_20D_return,lookahead_detected,pit_compliance
21629,PRED_V60_8d8abad3730f,2025-06-18,2025-06-18T08:30:00,2025-06-18T08:30:00,Cement & Clinker,-3.0678,4.23,False,VERIFIED_CLEAN
15672,PRED_V60_e275fed08256,2025-04-15,2025-04-15T08:30:00,2025-04-15T08:30:00,Power,5.36,2.13,False,VERIFIED_CLEAN
4955,PRED_V60_4d4b09f64a3b,2024-12-17,2024-12-17T08:30:00,2024-12-17T08:30:00,Residential & Commercial Real Estate,-3.5067,-16.32,False,VERIFIED_CLEAN
19628,PRED_V60_f6a9b8d313b5,2025-05-28,2025-05-28T08:30:00,2025-05-28T08:30:00,Information Technology,-2.5883,-2.97,False,VERIFIED_CLEAN
11472,PRED_V60_8ebdce2393b6,2025-02-21,2025-02-21T08:30:00,2025-02-21T08:30:00,Breweries & Distilleries,-2.1988,0.86,False,VERIFIED_CLEAN
29028,PRED_V60_737201239467,2026-07-13,2026-07-13T08:30:00,2026-07-13T08:30:00,Ship Building & Defence,-0.1796,1.5,False,VERIFIED_CLEAN
9942,PRED_V60_19d6396a2baa,2025-02-06,2025-02-06T08:30:00,2025-02-06T08:30:00,"Plywood, MDF & Laminates",-1.9297,-16.54,False,VERIFIED_CLEAN
3876,PRED_V60_96604cf9ea2a,2024-12-05,2024-12-05T08:30:00,2024-12-05T08:30:00,Water & Wastewater Treatment,0.7683,3.64,False,VERIFIED_CLEAN
22628,PRED_V60_690d09c93f8e,2025-06-27,2025-06-27T08:30:00,2025-06-27T08:30:00,Batteries,0.5922,12.93,False,VERIFIED_CLEAN
22352,PRED_V60_d99187310177,2025-06-25,2025-06-25T08:30:00,2025-06-25T08:30:00,Asset Management Company (AMC),1.7278,9.43,False,VERIFIED_CLEAN
6145,PRED_V60_02cb99f168ed,2024-12-30,2024-12-30T08:30:00,2024-12-30T08:30:00,Roads & Highways EPC,-0.5687,-13.77,False,VERIFIED_CLEAN
7923,PRED_V60_3b90f0757032,2025-01-16,2025-01-16T08:30:00,2025-01-16T08:30:00,Steel Manufacturing & Mining,-0.2425,-8.3,False,VERIFIED_CLEAN
28359,PRED_V60_231cb7eac744,2026-07-06,2026-07-06T08:30:00,2026-07-06T08:30:00,Batteries & Energy Storage,-0.2439,9.38,False,VERIFIED_CLEAN
14111,PRED_V60_a0e8585b5a73,2025-03-25,2025-03-25T08:30:00,2025-03-25T08:30:00,Railway Infrastructure,0.1485,-2.83,False,VERIFIED_CLEAN
15016,PRED_V60_e98b5f42ceed,2025-04-04,2025-04-04T08:30:00,2025-04-04T08:30:00,Tyres & Rubber Products,-1.5345,9.13,False,VERIFIED_CLEAN
17891,PRED_V60_e3ff000ad303,2025-05-09,2025-05-09T08:30:00,2025-05-09T08:30:00,Internet & Digital Platforms,-2.03,5.76,False,VERIFIED_CLEAN
2266,PRED_V60_9a7956c41bd7,2024-11-19,2024-11-19T08:30:00,2024-11-19T08:30:00,Air Conditioners & AC Components,-1.1643,12.32,False,VERIFIED_CLEAN
15230,PRED_V60_ea3864f840e3,2025-04-07,2025-04-07T08:30:00,2025-04-07T08:30:00,Information Technology,0.6944,2.41,False,VERIFIED_CLEAN
13190,PRED_V60_bfd645589084,2025-03-13,2025-03-13T08:30:00,2025-03-13T08:30:00,Fertilizers,-1.5368,11.52,False,VERIFIED_CLEAN
13685,PRED_V60_999efe29ed9c,2025-03-20,2025-03-20T08:30:00,2025-03-20T08:30:00,Packaging & Containers,-1.2477,7.75,False,VERIFIED_CLEAN
5601,PRED_V60_6e239449cf4c,2024-12-24,2024-12-24T08:30:00,2024-12-24T08:30:00,Oil Exploration & Refining,-2.6995,-4.57,False,VERIFIED_CLEAN
4985,PRED_V60_df441f24c1e8,2024-12-17,2024-12-17T08:30:00,2024-12-17T08:30:00,API & CDMO / CRAMS,-1.9432,-9.74,False,VERIFIED_CLEAN
20621,PRED_V60_eb11bb0db81a,2025-06-06,2025-06-06T08:30:00,2025-06-06T08:30:00,Footwear,3.278,-4.73,False,VERIFIED_CLEAN
24588,PRED_V60_c5d6f6f8a0cd,2025-07-17,2025-07-17T08:30:00,2025-07-17T08:30:00,Software Products & Digital Services,-3.2082,-9.38,False,VERIFIED_CLEAN
12085,PRED_V60_24f26887d457,2025-03-03,2025-03-03T08:30:00,2025-03-03T08:30:00,"Hotels, Resorts & QSR",-2.1228,3.36,False,VERIFIED_CLEAN
21066,PRED_V60_5842a1c2719b,2025-06-11,2025-06-11T08:30:00,2025-06-11T08:30:00,Copper & Non-Ferrous Metals,-0.5292,-9.8,False,VERIFIED_CLEAN
21166,PRED_V60_b6b2aaa3e1a9,2025-06-12,2025-06-12T08:30:00,2025-06-12T08:30:00,Water & Wastewater Treatment,-2.003,-3.31,False,VERIFIED_CLEAN
21060,PRED_V60_0c13340efb17,2025-06-11,2025-06-11T08:30:00,2025-06-11T08:30:00,Renewable Energy - Solar & Wind,2.9702,-7.08,False,VERIFIED_CLEAN
7442,PRED_V60_a08a45c313fe,2025-01-13,2025-01-13T08:30:00,2025-01-13T08:30:00,Diversified Retail,-0.5783,-5.21,False,VERIFIED_CLEAN
25758,PRED_V60_e26eda641514,2025-07-30,2025-07-30T08:30:00,2025-07-30T08:30:00,Logistics & Transportation,-7.26,-17.69,False,VERIFIED_CLEAN
