symbol,company_name,series,inferred_sme_status,current_macro_sector,current_industry,exposure_v3_sector,exposure_v3_industry,exposure_v3_confidence,v3_master_industry,primary_conflict,all_conflicts,conflict_count,review_status
CMLL,Caliber Mining and Logistics Limited,EQ,NON_SME,STEEL,Secondary Steel & TMT Rebars,STEEL,Secondary Steel & TMT Rebars,HIGH,nan,LOGISTICS_NAME_WRONG_INDUSTRY,"LOGISTICS_NAME_WRONG_INDUSTRY: Name implies 'Logistics' but stocks.industry='Secondary Steel & TMT Rebars' (exp_v3='Secondary Steel & TMT Rebars', aligned=False)",1,REVIEW_REQUIRED
CMRGREEN,CMR Green Technologies Limited,EQ,NON_SME,METALS & FABRICATION,Aluminium Recycling & Secondary Metals,METALS & FABRICATION,Aluminium Recycling & Secondary Metals,HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Aluminium Recycling & Secondary Metals' (exp_v3='Aluminium Recycling & Secondary Metals', aligned=False)",1,REVIEW_REQUIRED
CYBERMEDIA,Cyber Media (India) Limited,EQ,NON_SME,IT SERVICES,Mid-Tier IT & Digital Solutions,IT SERVICES,Mid-Tier IT & Digital Solutions,HIGH,nan,MEDIA_NAME_WRONG_INDUSTRY,"MEDIA_NAME_WRONG_INDUSTRY: Name implies 'Media' but stocks.industry='Mid-Tier IT & Digital Solutions' (exp_v3='Mid-Tier IT & Digital Solutions', aligned=False)",1,REVIEW_REQUIRED
DATAPATTNS,Data Patterns (India) Limited,EQ,NON_SME,DEFENCE & AEROSPACE,Defence Electronics & Radars,DEFENCE & AEROSPACE,Defence Electronics & Radars,HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Defence Electronics & Radars' (exp_v3='Defence Electronics & Radars', aligned=False)",1,REVIEW_REQUIRED
DIGISPICE,DiGiSPICE Technologies Limited,EQ,NON_SME,FOOD PROCESSING,Packaged Foods & Snacks,FOOD PROCESSING,Packaged Foods & Snacks,HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Packaged Foods & Snacks' (exp_v3='Packaged Foods & Snacks', aligned=False)",1,REVIEW_REQUIRED
DIVISLAB,Divi's Laboratories Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
DIXON,Dixon Technologies (India) Limited,EQ,NON_SME,EMS & ELECTRONICS,Domestic Consumer Appliance EMS (AC/TV/Washing Machines),EMS & ELECTRONICS,Domestic Consumer Appliance EMS (AC/TV/Washing Machines),HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Domestic Consumer Appliance EMS (AC/TV/Washing Machines)' (exp_v3='Domestic Consumer Appliance EMS (AC/TV/Washing Machines)', aligned=False)",1,REVIEW_REQUIRED
DJML,DJ Mediaprint & Logistics Limited,EQ,NON_SME,LOGISTICS & SUPPLY CHAIN,3PL Logistics & Fleet Haulage,LOGISTICS & SUPPLY CHAIN,3PL Logistics & Fleet Haulage,HIGH,nan,MEDIA_NAME_WRONG_INDUSTRY,"MEDIA_NAME_WRONG_INDUSTRY: Name implies 'Media' but stocks.industry='3PL Logistics & Fleet Haulage' (exp_v3='3PL Logistics & Fleet Haulage', aligned=False)",1,REVIEW_REQUIRED
DNAMEDIA,Diligent Media Corporation Limited,EQ,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,nan,MEDIA_NAME_WRONG_INDUSTRY,"MEDIA_NAME_WRONG_INDUSTRY: Name implies 'Media' but stocks.industry='Paperboard & Packaging Cartons' (exp_v3='Paperboard & Packaging Cartons', aligned=False)",1,REVIEW_REQUIRED
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
DSKULKARNI,DS Kulkarni Developers Limited,BE,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,nan,LIKELY_REAL_ESTATE_IN_WRONG_SECTOR,"LIKELY_REAL_ESTATE_IN_WRONG_SECTOR: Name implies 'Likely' but stocks.industry='Precision Auto Engine Components' (exp_v3='Precision Auto Engine Components', aligned=False)",1,REVIEW_REQUIRED
DYNAMATECH,Dynamatic Technologies Limited,EQ,NON_SME,DEFENCE & AEROSPACE,Defence Electronics & Avionics,DEFENCE & AEROSPACE,Defence Electronics & Avionics,HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Defence Electronics & Avionics' (exp_v3='Defence Electronics & Avionics', aligned=False)",1,REVIEW_REQUIRED
EASTWEST,East West Freight Carriers Limited,EQ,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,nan,LOGISTICS_NAME_WRONG_INDUSTRY,"LOGISTICS_NAME_WRONG_INDUSTRY: Name implies 'Logistics' but stocks.industry='Precision Auto Engine Components' (exp_v3='Precision Auto Engine Components', aligned=False)",1,REVIEW_REQUIRED
EMCURE,Emcure Pharmaceuticals Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
ENDURANCE,Endurance Technologies Limited,EQ,NON_SME,AUTO ANCILLARIES,Auto Castings & Heavy Forgings,AUTO ANCILLARIES,Auto Castings & Heavy Forgings,HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Auto Castings & Heavy Forgings' (exp_v3='Auto Castings & Heavy Forgings', aligned=False)",1,REVIEW_REQUIRED
ENIL,Entertainment Network (India) Limited,EQ,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,nan,MEDIA_NAME_WRONG_INDUSTRY,"MEDIA_NAME_WRONG_INDUSTRY: Name implies 'Media' but stocks.industry='Paperboard & Packaging Cartons' (exp_v3='Paperboard & Packaging Cartons', aligned=False)",1,REVIEW_REQUIRED
ENTERO,Entero Healthcare Solutions Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
EPACKPEB,EPack Prefab Technologies Limited,EQ,NON_SME,BUILDING MATERIALS,Pre-Engineered Steel Buildings,BUILDING MATERIALS,Pre-Engineered Steel Buildings,HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Pre-Engineered Steel Buildings' (exp_v3='Pre-Engineered Steel Buildings', aligned=False)",1,REVIEW_REQUIRED
ESSARSHPNG,Essar Shipping Limited,EQ,NON_SME,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,HIGH,nan,LOGISTICS_NAME_WRONG_INDUSTRY,"LOGISTICS_NAME_WRONG_INDUSTRY: Name implies 'Logistics' but stocks.industry='Marine Offshore Vessels & Tugs' (exp_v3='Marine Offshore Vessels & Tugs', aligned=False)",1,REVIEW_REQUIRED
FISCHER,Fischer Medical Ventures Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
FORTIS,Fortis Healthcare Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
